x, density, velocity, temperature, pressure, Mach-number, itime =     1501, time =   0.150000E+00
5.00E-03,4.45E-01,6.93E-01,2.76E-02,3.53E+00,2.08E-01,0.00E+00,
1.50E-02,4.45E-01,6.94E-01,2.76E-02,3.53E+00,2.08E-01,0.00E+00,
2.50E-02,4.44E-01,6.96E-01,2.76E-02,3.52E+00,2.09E-01,0.00E+00,
3.50E-02,4.44E-01,6.99E-01,2.76E-02,3.52E+00,2.10E-01,0.00E+00,
4.50E-02,4.44E-01,7.03E-01,2.76E-02,3.51E+00,2.11E-01,0.00E+00,
5.50E-02,4.43E-01,7.09E-01,2.76E-02,3.50E+00,2.13E-01,0.00E+00,
6.50E-02,4.42E-01,7.18E-01,2.75E-02,3.49E+00,2.16E-01,0.00E+00,
7.50E-02,4.40E-01,7.30E-01,2.75E-02,3.47E+00,2.20E-01,0.00E+00,
